Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1765647479,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1765647480,5,,Aggregated,0.000000,0.000000,33,37,37,37,37,37,37,37,37,37,37,5,0,33,31.947329600188823,23.39434299938148,37.468828000783105,83.0
1765647481,10,,Aggregated,0.000000,0.000000,23,29,29,33,37,37,37,37,37,37,37,13,0,23,22.680920615410006,8.19606900040526,37.468828000783105,83.3076923076923
1765647482,15,,Aggregated,5.000000,0.000000,23,29,36,37,37,38,38,38,38,38,38,24,0,20,22.326979083383474,7.293773000128567,38.347300000168616,83.20833333333333
1765647483,20,,Aggregated,5.500000,0.000000,17,29,29,33,37,38,38,38,38,38,38,38,0,15,19.957006815873587,7.293773000128567,38.347300000168616,83.07894736842105
1765647484,25,,Aggregated,7.666667,0.000000,11,25,29,32,36,37,38,38,38,38,38,55,0,11,18.488736781893582,7.293773000128567,38.347300000168616,83.18181818181819
1765647485,30,,Aggregated,8.250000,0.000000,10,23,29,31,36,37,38,38,38,38,38,69,0,10,17.677309666725996,6.933323999874119,38.347300000168616,83.1304347826087
1765647486,35,,Aggregated,9.600000,0.000000,10,20,26,29,33,37,38,38,38,38,38,92,0,10,16.211690771777523,6.933323999874119,38.347300000168616,83.09782608695652
1765647487,40,,Aggregated,10.500000,0.000000,10,16,25,26,33,36,37,38,38,38,38,112,0,10,15.443004830379843,6.933323999874119,38.347300000168616,83.09821428571429
1765647488,45,,Aggregated,11.142857,0.000000,9,13,23,26,33,37,38,43,47,47,47,141,0,9,14.998645347541823,6.933323999874119,47.069795000425074,83.12056737588652
1765647489,50,,Aggregated,12.750000,0.000000,8,11,23,25,32,36,38,43,47,47,47,166,0,8,14.409118686786774,6.933323999874119,47.069795000425074,83.144578313253
1765647490,50,,Aggregated,14.000000,0.000000,8,10,17,23,29,36,38,43,47,47,47,191,0,8,13.542135774900165,6.933323999874119,47.069795000425074,83.13612565445027
